metric	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Record high °C	35.3	39.8	42.8	44.4	45.0	44.3	40.9	39.4	39.6	39.2	35.8	35.0	45.0 
Average high °C	29.2	32.0	35.0	37.1	38.5	36.3	34.6	34.0	34.0	33.0	29.5	28.3	33.5 
Average low °C	18.2	19.2	21.3	24.8	26.3	26.0	25.1	24.6	24.1	22.9	20.8	19.2	22.7 
Record low °C	10.2	12.0	12.1	13.8	18.1	19.6	18.8	18.7	18.7	15.6	12.1	9.3	9.3 
Average precipitation mm	9.0	7.1	5.9	21.8	83.9	71.0	117.0	124.9	149.6	176.9	155.2	78.6	1000.9 
Average precipitation days	0.8	0.5	0.4	1.3	4.7	5.3	6.6	7.8	7.6	9.4	7.7	3.9	56
