metric	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Record high °C	25.4	24.7	26.7	26.1	27.8	25.1	23.9	22.9	22.8	22.2	23.4	24.5	27.8
Average high °C	18.4	19.4	20.7	21.1	21.4	19.6	18.5	18.5	18.8	18.0	17.0	17.3	19.1
Average low °C	8.6	8.9	10.5	11.9	12.8	12.2	11.7	11.6	11.4	11.0	10.1	9.0	10.8
Record low °C	2.7	3.8	4.4	6.1	7.8	5.0	8.6	8.3	8.3	5.6	3.9	2.8	2.7
Average rainfall mm	37.9	37.5	55.7	127.5	126.4	89.8	111.6	128.5	216.9	259.0	239.9	137.5	1568.3
Average rainy days	2.3	1.7	3.6	7.5	8.9	8.7	9.2	8.7	12.6	14.2	11.1	6.6	94.9
Average relative humidity	73	70	67	78	82	86	86	86	87	87	87	79	81
Mean monthly sunshine hours	248.0	220.4	235.6	210.0	192.2	117.0	99.2	114.7	114.0	124.0	132.0	158.1	1965.2
Mean daily sunshine hours	8.0	7.8	7.6	7.0	6.2	3.9	3.2	3.7	3.8	4.0	4.4	5.1	5.4
