metric	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Average high °C	31.6	31.5	32.0	33.0	33.0	30.3	28.9	28.8	29.5	31.6	32.8	32.4	31.3
Daily mean °C	26.0	26.3	27.7	29.3	30.0	27.6	26.7	26.4	26.9	27.9	27.6	26.6	27.4
Average low °C	19.6	20.5	23.2	25.6	26.3	24.7	24.1	24.0	23.8	23.8	22.3	20.6	23.2
Average precipitation mm	0.2	0.1	1.2	11.8	112.7	868.2	994.8	512.7	251.9	124.8	30.9	16.7	2,926
Average precipitation days	0.0	0.0	0.1	0.8	4.2	21.9	27.2	13.3	13.5	6.2	2.5	0.4	90.1
Mean monthly sunshine hours	313.1	293.8	291.4	288.0	297.6	126.0	105.4	120.9	177.0	248.0	273.0	300.7	2,834.9
