metric	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Record high	19.5	23.5	27.0	30.0	35.0	33.2	32.6	30.6	29.2	30.0	25.6	21.5	35.0
Average high	10.8	12.1	16.7	21.7	24.9	27.0	26.9	25.5	24.7	22.0	17.7	13.5	20.2 
Average low	-1.1	0.2	3.0	6.4	9.1	12.8	15.9	16.0	12.2	6.1	2.2	0.2	6.9 
Record low	-11.6	-11.0	-6.0	-1.0	1.0	4.4	7.4	7.0	3.0	-1.5	-5.0	-10.0	-11.6 
Average rainfall	83.5	110.4	156.9	84.7	73.5	73.9	190.3	192.1	113.1	35.9	28.1	55.0	1,197.4 
Average rainy days	5.2	7.4	8.0	5.5	5.8	6.4	12.1	13.6	7.7	2.3	1.7	2.9	78.6
Average relative humidity	61	61	53	56	61	63	74	76	75	69	61	62	64
