metric	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Record high °C	19.9	22.0	27.6	27.3	28.5	28.4	28.4	29.9	28.5	27.2	25.5	24.0	29.9 
Mean maximum °C	16.4	18.0	22.7	24.0	25.0	25.2	25.0	26.0	25.3	24.0	20.6	17.4	26.8 
Average high °C	12.3	13.8	17.5	20.5	21.4	22.0	21.6	22.2	21.4	20.4	17.1	13.9	18.7 
Average low °C	4.7	6.1	9.2	11.8	14.0	16.4	17.0	16.9	15.9	12.8	9.1	6.2	11.7 
Mean minimum °C	1.8	2.7	5.5	8.2	11.0	14.0	15.6	15.4	13.7	9.9	6.6	3.3	1.3 
Record low °C	−2.2	−1.1	1.4	2.9	6.6	10.0	11.3	10.8	7.7	4.3	2.4	−1.7	−2.2 
Average rainfall mm	27.1	72.2	126.4	296.9	496.4	609.8	626.3	565.9	438.7	173.4	37.9	19.5	3,490.4 
Average rainy days	2.4	5.4	9.2	15.2	20.1	23.6	27.0	24.7	20.8	8.4	2.3	1.7	161.0
Average relative humidity 	77	78	76	78	85	89	92	92	90	83	79	77	83
